"","site_id","year","month","day","variable","value"
"25899","i36",1933,3,1,"cru_324_frs",31
"25966","i36",1933,4,1,"cru_324_frs",30
"26033","i36",1933,5,1,"cru_324_frs",29.05
"26100","i36",1933,6,1,"cru_324_frs",17.86
"26167","i36",1933,7,1,"cru_324_frs",8.55
"26234","i36",1933,8,1,"cru_324_frs",11.04
"26301","i36",1933,9,1,"cru_324_frs",23.37
"26368","i36",1933,10,1,"cru_324_frs",31
"26435","i36",1933,11,1,"cru_324_frs",30
"26502","i36",1933,12,1,"cru_324_frs",31
"26569","i36",1934,1,1,"cru_324_frs",31
"26636","i36",1934,2,1,"cru_324_frs",28
"26703","i36",1934,3,1,"cru_324_frs",31
"26770","i36",1934,4,1,"cru_324_frs",30
"26837","i36",1934,5,1,"cru_324_frs",28.25
"26904","i36",1934,6,1,"cru_324_frs",15.28
"26971","i36",1934,7,1,"cru_324_frs",5.85
"27038","i36",1934,8,1,"cru_324_frs",8.55
"27105","i36",1934,9,1,"cru_324_frs",24.13
"27172","i36",1934,10,1,"cru_324_frs",30.78
"27239","i36",1934,11,1,"cru_324_frs",30
"27306","i36",1934,12,1,"cru_324_frs",31
"27373","i36",1935,1,1,"cru_324_frs",31
"27440","i36",1935,2,1,"cru_324_frs",28
"27507","i36",1935,3,1,"cru_324_frs",31
"27574","i36",1935,4,1,"cru_324_frs",30
"27641","i36",1935,5,1,"cru_324_frs",29.61
"27708","i36",1935,6,1,"cru_324_frs",14.76
"27775","i36",1935,7,1,"cru_324_frs",6.06
"27842","i36",1935,8,1,"cru_324_frs",14.45
"27909","i36",1935,9,1,"cru_324_frs",24.13
"27976","i36",1935,10,1,"cru_324_frs",31
"28043","i36",1935,11,1,"cru_324_frs",30
"28110","i36",1935,12,1,"cru_324_frs",31
"28177","i36",1936,1,1,"cru_324_frs",31
"28244","i36",1936,2,1,"cru_324_frs",29
"28311","i36",1936,3,1,"cru_324_frs",31
"28378","i36",1936,4,1,"cru_324_frs",30
"28445","i36",1936,5,1,"cru_324_frs",28.77
"28512","i36",1936,6,1,"cru_324_frs",10.43
"28579","i36",1936,7,1,"cru_324_frs",6.27
"28646","i36",1936,8,1,"cru_324_frs",7.61
"28713","i36",1936,9,1,"cru_324_frs",24.02
"28780","i36",1936,10,1,"cru_324_frs",30.86
"28847","i36",1936,11,1,"cru_324_frs",30
"28914","i36",1936,12,1,"cru_324_frs",31
"28981","i36",1937,1,1,"cru_324_frs",31
"29048","i36",1937,2,1,"cru_324_frs",28
"29115","i36",1937,3,1,"cru_324_frs",31
"29182","i36",1937,4,1,"cru_324_frs",30
"29249","i36",1937,5,1,"cru_324_frs",29.24
"29316","i36",1937,6,1,"cru_324_frs",11.18
"29383","i36",1937,7,1,"cru_324_frs",6.93
"29450","i36",1937,8,1,"cru_324_frs",11.55
"29517","i36",1937,9,1,"cru_324_frs",20.35
"29584","i36",1937,10,1,"cru_324_frs",30.08
"29651","i36",1937,11,1,"cru_324_frs",30
"29718","i36",1937,12,1,"cru_324_frs",31
"29785","i36",1938,1,1,"cru_324_frs",31
"29852","i36",1938,2,1,"cru_324_frs",28
"29919","i36",1938,3,1,"cru_324_frs",31
"29986","i36",1938,4,1,"cru_324_frs",30
"30053","i36",1938,5,1,"cru_324_frs",28.7
"30120","i36",1938,6,1,"cru_324_frs",15.02
"30187","i36",1938,7,1,"cru_324_frs",4.64
"30254","i36",1938,8,1,"cru_324_frs",9.52
"30321","i36",1938,9,1,"cru_324_frs",18.11
"30388","i36",1938,10,1,"cru_324_frs",29.43
"30455","i36",1938,11,1,"cru_324_frs",30
"30522","i36",1938,12,1,"cru_324_frs",31
"30589","i36",1939,1,1,"cru_324_frs",31
"30656","i36",1939,2,1,"cru_324_frs",28
"30723","i36",1939,3,1,"cru_324_frs",31
"30790","i36",1939,4,1,"cru_324_frs",30
"30857","i36",1939,5,1,"cru_324_frs",28.98
"30924","i36",1939,6,1,"cru_324_frs",12.96
"30991","i36",1939,7,1,"cru_324_frs",5.23
"31058","i36",1939,8,1,"cru_324_frs",10.53
"31125","i36",1939,9,1,"cru_324_frs",23.26
"31192","i36",1939,10,1,"cru_324_frs",31
"31259","i36",1939,11,1,"cru_324_frs",30
"31326","i36",1939,12,1,"cru_324_frs",31
"31393","i36",1940,1,1,"cru_324_frs",31
"31460","i36",1940,2,1,"cru_324_frs",29
"31527","i36",1940,3,1,"cru_324_frs",31
"31594","i36",1940,4,1,"cru_324_frs",30
"31661","i36",1940,5,1,"cru_324_frs",28.84
"31728","i36",1940,6,1,"cru_324_frs",13.73
"31795","i36",1940,7,1,"cru_324_frs",4.64
"31862","i36",1940,8,1,"cru_324_frs",10.78
"31929","i36",1940,9,1,"cru_324_frs",19.61
"31996","i36",1940,10,1,"cru_324_frs",30.55
"32063","i36",1940,11,1,"cru_324_frs",30
"32130","i36",1940,12,1,"cru_324_frs",31
"32197","i36",1941,1,1,"cru_324_frs",31
"32264","i36",1941,2,1,"cru_324_frs",28
"32331","i36",1941,3,1,"cru_324_frs",31
"32398","i36",1941,4,1,"cru_324_frs",30
"32465","i36",1941,5,1,"cru_324_frs",28.48
"32532","i36",1941,6,1,"cru_324_frs",11.43
"32599","i36",1941,7,1,"cru_324_frs",5.43
"32666","i36",1941,8,1,"cru_324_frs",9.52
"32733","i36",1941,9,1,"cru_324_frs",24.54
"32800","i36",1941,10,1,"cru_324_frs",31
